student_id,study_hours,attendance,previous_score,sleep_hours,final_score,result
1,5,80,65,7,70,Passed
2,2,60,45,6,50,Failed
3,8,90,78,8,85,Passed
4,1,50,40,5,42,Failed
5,6,85,70,7,76,Passed
6,3,65,55,6,58,Failed
7,7,88,75,7,82,Passed
8,4,70,60,6,65,Passed
9,2,55,48,5,49,Failed
10,9,95,85,8,92,Passed
11,5,78,66,7,72,Passed
12,3,62,52,6,55,Failed
13,6,82,69,7,74,Passed
14,1,45,38,5,40,Failed
15,8,91,80,8,88,Passed
16,4,73,61,6,67,Passed
17,2,58,46,5,51,Failed
18,7,86,74,7,80,Passed
19,5,79,68,6,71,Passed
20,10,98,90,8,95,Passed
21,6,83,72,7,77,Passed
22,3,64,53,6,57,Failed
23,9,94,84,8,91,Passed
24,2,57,44,5,48,Failed
25,4,71,59,6,63,Passed
26,7,87,76,7,81,Passed
27,5,75,62,6,69,Passed
28,1,48,35,5,39,Failed
29,8,92,79,8,86,Passed
30,6,81,68,7,73,Passed
